
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 128 thread(s) in 1.397212379s; time/op = 54ns
Testing CHashmap
Insert heavy
25165824 operations across 1 thread(s) in 21.939041816s; time/op = 871ns
25165824 operations across 2 thread(s) in 16.141069042s; time/op = 640ns
25165824 operations across 3 thread(s) in 12.152379542s; time/op = 482ns
25165824 operations across 4 thread(s) in 11.005859035s; time/op = 437ns
25165824 operations across 5 thread(s) in 11.628670615s; time/op = 461ns
25165824 operations across 6 thread(s) in 11.341431624s; time/op = 450ns
25165824 operations across 7 thread(s) in 11.318352062s; time/op = 449ns
25165824 operations across 8 thread(s) in 11.034032162s; time/op = 438ns
25165824 operations across 9 thread(s) in 11.459487394s; time/op = 455ns
25165824 operations across 10 thread(s) in 11.57553042s; time/op = 459ns
25165824 operations across 11 thread(s) in 11.567127306s; time/op = 459ns
25165824 operations across 12 thread(s) in 11.476145495s; time/op = 455ns
25165824 operations across 13 thread(s) in 11.243513729s; time/op = 446ns
25165824 operations across 14 thread(s) in 11.159091361s; time/op = 443ns
25165824 operations across 15 thread(s) in 12.702360569s; time/op = 503ns
25165824 operations across 16 thread(s) in 12.284220324s; time/op = 487ns
25165824 operations across 17 thread(s) in 11.255918544s; time/op = 447ns
25165824 operations across 18 thread(s) in 11.504764983s; time/op = 457ns
25165824 operations across 19 thread(s) in 11.442645661s; time/op = 454ns
25165824 operations across 20 thread(s) in 12.422644392s; time/op = 492ns
25165824 operations across 21 thread(s) in 11.304021382s; time/op = 449ns
25165824 operations across 22 thread(s) in 12.977566735s; time/op = 514ns
25165824 operations across 23 thread(s) in 13.081535182s; time/op = 519ns
25165824 operations across 24 thread(s) in 12.99222906s; time/op = 515ns
25165824 operations across 25 thread(s) in 11.309367782s; time/op = 449ns
25165824 operations across 26 thread(s) in 11.274608609s; time/op = 447ns
25165824 operations across 27 thread(s) in 11.343744041s; time/op = 450ns
25165824 operations across 28 thread(s) in 13.040028961s; time/op = 517ns
25165824 operations across 29 thread(s) in 13.156107093s; time/op = 522ns
25165824 operations across 30 thread(s) in 13.334906024s; time/op = 529ns
25165824 operations across 31 thread(s) in 13.239042335s; time/op = 525ns
25165824 operations across 32 thread(s) in 13.366243445s; time/op = 530ns
25165824 operations across 33 thread(s) in 13.201612773s; time/op = 524ns
25165824 operations across 34 thread(s) in 12.314195041s; time/op = 488ns
